"id","pfd_period_no","wk","prd_name","prd_series","qty_fc","update_datetime"
78702,"202335",WK2340,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
179153,"202335",WK2341,RGP-096L-0D,RGP,281200,2023-09-12 14:29:53.054
385959,"202335",WK2342,RGP-096L-0D,RGP,281200,2023-09-12 14:29:53.054
75616,"202335",WK2343,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
206301,"202335",WK2344,RGP-096L-0D,RGP,281200,2023-09-12 14:29:53.054
328472,"202335",WK2345,RGP-096L-0D,RGP,281200,2023-09-12 14:29:53.054
371135,"202335",WK2346,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
221694,"202335",WK2347,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
380111,"202335",WK2348,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
27475,"202335",WK2349,RGP-096L-0D,RGP,168720,2023-09-12 14:29:53.054
118255,"202335",WK2350,RGP-096L-0D,RGP,112480,2023-09-12 14:29:53.054
41997,"202335",WK2351,RGP-096L-0D,RGP,224960,2023-09-12 14:29:53.054
380112,"202335",WK2352,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
307105,"202335",WK2401,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
115180,"202335",WK2402,RGP-096L-0D,RGP,140600,2023-09-12 14:29:53.054
69854,"202336",WK2336,RGP-096L-0D,RGP,300000,2023-09-12 14:29:53.054
6006,"202336",WK2337,RGP-096L-0D,RGP,1428879,2023-09-12 14:29:53.054
36394,"202336",WK2338,RGP-096L-0D,RGP,208088,2023-09-12 14:29:53.054
102982,"202336",WK2339,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
209665,"202336",WK2340,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
212780,"202336",WK2341,RGP-096L-0D,RGP,281200,2023-09-12 14:29:53.054
185357,"202336",WK2342,RGP-096L-0D,RGP,281200,2023-09-12 14:29:53.054
282437,"202336",WK2343,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
248825,"202336",WK2344,RGP-096L-0D,RGP,281200,2023-09-12 14:29:53.054
200262,"202336",WK2345,RGP-096L-0D,RGP,281200,2023-09-12 14:29:53.054
69855,"202336",WK2346,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
78896,"202336",WK2347,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
30669,"202336",WK2348,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
282438,"202336",WK2349,RGP-096L-0D,RGP,168720,2023-09-12 14:29:53.054
380305,"202336",WK2350,RGP-096L-0D,RGP,112480,2023-09-12 14:29:53.054
27638,"202336",WK2351,RGP-096L-0D,RGP,224960,2023-09-12 14:29:53.054
206493,"202336",WK2352,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
334594,"202336",WK2401,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
252048,"202336",WK2402,RGP-096L-0D,RGP,140600,2023-09-12 14:29:53.054
313510,"202336",WK2403,RGP-096L-0D,RGP,168720,2023-09-12 14:29:53.054
304352,"202337",WK2337,RGP-096L-0D,RGP,300000,2023-09-16 11:06:44.742
245841,"202337",WK2339,RGP-096L-0D,RGP,111516,2023-09-16 11:06:44.742
301110,"202337",WK2340,RGP-096L-0D,RGP,379620,2023-09-16 11:06:44.742
242716,"202337",WK2341,RGP-096L-0D,RGP,379620,2023-09-16 11:06:44.742
307495,"202337",WK2342,RGP-096L-0D,RGP,379620,2023-09-16 11:06:44.742
124749,"202337",WK2343,RGP-096L-0D,RGP,379620,2023-09-16 11:06:44.742
84990,"202337",WK2344,RGP-096L-0D,RGP,379620,2023-09-16 11:06:44.742
164417,"202337",WK2345,RGP-096L-0D,RGP,379620,2023-09-16 11:06:44.742
188434,"202337",WK2346,RGP-096L-0D,RGP,379620,2023-09-16 11:06:44.742
148622,"202337",WK2347,RGP-096L-0D,RGP,379620,2023-09-16 11:06:44.742
325849,"202337",WK2348,RGP-096L-0D,RGP,379620,2023-09-16 11:06:44.742
39468,"202337",WK2349,RGP-096L-0D,RGP,158175,2023-09-16 11:06:44.742
45272,"202337",WK2350,RGP-096L-0D,RGP,63270,2023-09-16 11:06:44.742
109392,"202337",WK2351,RGP-096L-0D,RGP,253080,2023-09-16 11:06:44.742
319821,"202337",WK2352,RGP-096L-0D,RGP,253080,2023-09-16 11:06:44.742
353128,"202337",WK2401,RGP-096L-0D,RGP,329004,2023-09-16 11:06:44.742
255311,"202337",WK2402,RGP-096L-0D,RGP,221445,2023-09-16 11:06:44.742
36602,"202337",WK2403,RGP-096L-0D,RGP,189810,2023-09-16 11:06:44.742
176554,"202337",WK2404,RGP-096L-0D,RGP,94905,2023-09-16 11:06:44.742
549793,"202338",WK2338,RGP-096L-0D,RGP,300000,2023-09-25 08:49:07.438
553136,"202338",WK2339,RGP-096L-0D,RGP,751437,2023-09-25 08:49:07.438
562995,"202338",WK2340,RGP-096L-0D,RGP,337440,2023-09-25 08:49:07.438
559762,"202338",WK2341,RGP-096L-0D,RGP,337440,2023-09-25 08:49:07.438
553350,"202338",WK2342,RGP-096L-0D,RGP,337440,2023-09-25 08:49:07.438
563229,"202338",WK2343,RGP-096L-0D,RGP,337440,2023-09-25 08:49:07.438
546961,"202338",WK2344,RGP-096L-0D,RGP,337440,2023-09-25 08:49:07.438
550310,"202338",WK2345,RGP-096L-0D,RGP,337440,2023-09-25 08:49:07.438
570041,"202338",WK2346,RGP-096L-0D,RGP,337440,2023-09-25 08:49:07.438
560195,"202338",WK2347,RGP-096L-0D,RGP,337440,2023-09-25 08:49:07.438
547211,"202338",WK2348,RGP-096L-0D,RGP,337440,2023-09-25 08:49:07.438
566975,"202338",WK2349,RGP-096L-0D,RGP,140600,2023-09-25 08:49:07.438
553918,"202338",WK2350,RGP-096L-0D,RGP,56240,2023-09-25 08:49:07.438
547437,"202338",WK2351,RGP-096L-0D,RGP,224960,2023-09-25 08:49:07.438
570438,"202338",WK2352,RGP-096L-0D,RGP,224960,2023-09-25 08:49:07.438
