"id","so_no","so_line","request_date","due_date","prd_name","prd_series","qty_bal","update_datetime"
265036465,"2SE02987",5,"2024-03-28 00:00:00","2024-05-06 00:00:00",RGP-309S-1B,RGP,200000,2024-04-25 13:46:03.784
239503538,"2SE02729",8,"2024-04-26 00:00:00","2024-05-06 00:00:00",RGP-427L-0B,RGP,20000,2024-04-25 13:46:03.784
270050043,"2SE03723",1,"2024-05-07 00:00:00","2024-05-06 00:00:00",RGP-456L-0D,RGP,1120,2024-04-25 13:46:03.784
250096690,"2SE02867",9,"2024-03-31 00:00:00","2024-05-06 00:00:00",RGPZ-086MW-1E,RGP,10000,2024-04-25 13:46:03.784
250096701,"2SE02872",9,"2024-03-31 00:00:00","2024-05-06 00:00:00",RGPZ-127MW-1E,RGP,10000,2024-04-25 13:46:03.784
255353212,"2SE02966",7,"2024-03-28 00:00:00","2024-05-06 00:00:00",RGPZ-146ML-0B,RGP,40000,2024-04-25 13:46:03.784
255362129,"2SE02968",6,"2024-03-28 00:00:00","2024-05-06 00:00:00",RGPZ-147ML-0B,RGP,40000,2024-04-25 13:46:03.784
255362135,"2SE02969",7,"2024-03-28 00:00:00","2024-05-06 00:00:00",RGPZ-299NL-0C,RGP,40588,2024-04-25 13:46:03.784
255371081,"2SE02970",6,"2024-03-28 00:00:00","2024-05-06 00:00:00",RGPZ-300NL-0C,RGP,28281,2024-04-25 13:46:03.784
271496742,"2SE03436",7,"2024-04-09 00:00:00","2024-05-06 00:00:00",RGPZ-394ML-0D,RGP,91000,2024-04-25 13:46:03.784
265035459,"2SE01907",5,"2024-02-28 00:00:00","2024-05-06 00:00:00",RGPZ-395ML-0D,RGP,75100,2024-04-25 13:46:03.784
271434354,"2SE03216",1,"2024-04-02 00:00:00","2024-05-06 00:00:00",RGPZ-404ML-0E,RGP,72837,2024-04-25 13:46:03.784
271433801,"2SE02689",5,"2024-03-20 00:00:00","2024-05-06 00:00:00",RGPZ-404ML-0E,RGP,127075,2024-04-25 13:46:03.784
246139959,"2SE03218",1,"2024-04-02 00:00:00","2024-05-06 00:00:00",RGPZ-441ML-0D,RGP,6209,2024-04-25 13:46:03.784
265275708,"2SE03651",7,"2024-04-24 00:00:00","2024-05-07 00:00:00",RGP-266L-0B,RGP,30000,2024-04-25 13:46:03.784
